key,number,name,customer-type,coverage,badge-label,variants,badge-style.class-names.class-name,badge-style.background-color,badge-style.border-color,badge-style.color
89,89,Route 89 North Transcona - Kildonan Place,regular,regular,89,"[{'key': '89-1-K'}, {'key': '89-0-T'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
88,88,Route 88 Inkster Industrial Park - Scotia,regular,regular,88,"[{'key': '88-1-C'}, {'key': '88-0-F'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
83,83,Route 83 Unicity - Strauss Dr - Murray Industrial Park,regular,regular,83,"[{'key': '83-1-T'}, {'key': '83-0-U'}, {'key': '83-1-G'}, {'key': '83-0-P'}, {'key': '83-0-A'}, {'key': '83-1-M'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
95,95,Route 95 Tuxedo - Riverview,regular,regular,95,"[{'key': '95-0-pp'}, {'key': '95-0-S'}, {'key': '95-1-R'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
91,91,Route 91 St. Norbert,regular,regular,91,"[{'key': '91-0-S'}, {'key': '91-1-K'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
98,98,Route 98 Westdale - Grace Hospital,regular,regular,98,"[{'key': '98-0-W'}, {'key': '98-0-U'}, {'key': '98-1-G'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
90,90,Route 90 Kildonan Place - Whellams Lane,regular,regular,90,"[{'key': '90-1-k'}, {'key': '90-0-K'}, {'key': '90-1-W'}, {'key': '90-0-T'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
93,93,Route 93 South St. Vital - St. Marys,regular,regular,93,"[{'key': '93-1-S'}, {'key': '93-0-H'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
96,96,Route 96 St. Vital Centre - Windsor Park,regular,regular,96,"[{'key': '96-1-S'}, {'key': '96-0-P'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
92,92,Route 92 Crossroads Station - Lakeside Meadows,regular,regular,92,"[{'key': '92-1-C'}, {'key': '92-0-L'}, {'key': '92-1-K'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
97,97,Route 97 Inkster Industrial Park - Point Douglas,regular,regular,97,"[{'key': '97-0-F'}, {'key': '97-1-P'}, {'key': '97-1-f'}]","['badge-label', 'regular']",#ffffff,#d9d9d9,#000000
